TOKENS;AI;GAMING;MEMES;top;Symbol;1h%;24h%;7d%;Volumen (24h) USD;Volumen (24h) Tokens;ACC. CIRCULACION;CAP. USD;Precio USD;Alameda Research;Arrington XRP Capital;Binance Labs;Blockchain Capital;CMS Holdings;Coinfund;DCG;DeFiance Capital;DWF Labs;eGirl Capital;Fabric Ventures;Fenbushi Capital;Multicoin Capital;Pantera Capital;Paradigm;Placeholder Ventures;Play_To_Earn;Polychain Capital;Three Arrows Capital;USV;BITCOIN;CARDANO;ETHERIUM;SOLANA;TRON;OTHER
Qubic;1;0;0;2621.0;QUBIC;0.75;-3.82;-12.53;2091447.0;407045435835.0;88512924942517.0;454789753.0;5,14E-03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Web3War;0;1;0;4414.0;FPS;-1.06;0.19;-22.79;28512.0;199732.0;17541591.0;2504130.0;0.1428;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Alien Worlds;0;1;0;527.0;TLM;-0.27;1.31;-31.46;8066882.0;509586770.0;4115351376.0;65189892.0;0.01584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
Bretta;0;0;1;5500.0;BRETTA;0.0;54.05;-25.9;4548.0;27010.0;1000000.0;168389.0;0.1684;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Humans.ai;1;0;0;2802.0;HEART;1.48;10.61;6.17;876886.0;29484265.0;5577000000.0;165864457.0;0.02976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Baby Trump (BSC);0;0;1;1590.0;BABYTRUMP;0.33;-1.39;-24.07;550757.0;136874327.0;413032726.0;1666256.0;0.004034;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Taki Games;0;1;0;3063.0;TAKI;-0.03;0.91;-20.83;372688.0;19839219.0;1170868697.0;21995237.0;0.01879;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Bag;0;1;0;1212.0;BAG;0.59;10.06;-13.65;168138.0;59026930.0;2311127109.0;6584686.0;0.002849;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
KING;0;0;1;1847.0;KING;2.29;-0.33;-14.2;111844.0;1815175026.0;9270000000.0;571184.0;6,16E-02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Nuco.cloud;1;0;0;707.0;NCDT;3.38;23.42;10.01;597418.0;547733.0;32030898.0;34976890.0;1.09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
AI Network;1;0;0;3519.0;AIN;0.03;0.13;-21.41;140592.0;5337036.0;254826635.0;6712821.0;0.02634;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Synesis One;1;0;0;757.0;SNS;-0.24;17.61;-21.65;3154212.0;49201298.0;456252758.0;29268059.0;0.06406;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
ClinTex CTi;1;0;0;1260.0;CTI;0.17;3.53;-16.63;261972.0;5953667.0;124445175.0;5478414.0;0.04399;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Edge Matrix Computing;1;0;0;2928.0;EMC;1.07;-7.05;-34.47;529326.0;439796.0;37136214.0;44696114.0;1.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
BOOK OF KILLER;0;0;1;6707.0;BOKI;-2.03;-1.34;-39.24;295.0;14761826.0;500000000.0;9989.0;2,00E-02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
PIBBLE;1;0;0;1058.0;PIB;-0.5;-3.22;-23.71;245007.0;509929289.0;21913860893.0;10515630.0;0.0004805;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
EGG SOL;0;0;1;3968.0;EGG;-1.26;30.09;2.55;65380.0;532806145.0;5987142167.0;734679.0;0.0001227;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
LADA;0;0;1;6917.0;LADA;0.0;7.69;-83.66;183.0;12263392.0;1000000000.0;14912.0;1,49E-02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
King Shiba;0;0;1;1639.0;KINGSHIB;0.01;-0.19;1.83;10833.0;2815952.0;350027372.0;1346277.0;0.003846;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Karate Combat;0;1;0;3058.0;KARATE;-0.01;5.54;-21.46;375686.0;148496373.0;4750000000.0;12017170.0;0.00253;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Joe Coin;0;0;1;6682.0;JOE;0.0;3.97;-15.96;317.0;768329.0;100000000.0;41323.0;0.0004132;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
HotDog;0;0;1;6687.0;HOTDOG;2.95;2.51;-51.19;313.0;11911870.0;600000000.0;15757.0;2,63E-02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Binamon;0;1;0;1856.0;BMON;0.25;2.92;-11.48;22626.0;4824924.0;115453949.0;540080.0;0.004689;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
Cat wif Hands;0;0;1;4657.0;CATWIF;2.13;23.45;-46.11;20315.0;11972199566.0;131716886149.0;223499.0;1,70E-03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Ponke;0;0;1;473.0;PONKE;-5.36;64.56;130.07;57261310.0;294344638.0;429777374.0;78054343.0;0.1802;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Dega;0;0;1;3874.0;DEGA;0.29;2.73;-13.66;77589.0;37086367.0;1000000000.0;2092110.0;0.002095;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Measurable Data Token;1;0;0;598.0;MDT;-0.29;4.22;-13.71;6461929.0;84194370.0;676157013.0;51949388.0;0.07684;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
Peng;0;0;1;2545.0;PENG;0.08;6.13;-36.42;4028478.0;16032748.0;99999979.0;25126551.0;0.2513;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Wenwifhat;0;0;1;5505.0;WHY;0.6;-5.17;-7.66;4508.0;3417687.0;100000000.0;131904.0;0.001319;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Devve;0;1;0;2976.0;DEVVE;3.36;5.15;-19.5;469116.0;936693.0;18721364.0;9376066.0;0.5008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Oasis Network;1;0;0;109.0;ROSE;-0.16;10.05;-7.87;38559623.0;382028287.0;6713599876.0;675428384.0;0.1007;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1
DeFido;0;0;1;6193.0;DFD;-0.0;-3.01;-12.19;999.0;708421.0;90000000.0;126871.0;0.00141;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Dreams Quest;0;1;0;1515.0;DREAMS;-0.11;-2.74;-24.87;120579.0;88321487.0;1564101228.0;2134826.0;0.001365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
NFT Champions;0;1;0;4749.0;CHAMP;-0.59;-7.03;-13.49;17631.0;5053888.0;150199082.0;523994.0;0.003489;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Genopets;0;1;0;993.0;GENE;-0.86;6.48;-2.92;54528.0;182807.0;44483993.0;13467728.0;0.2983;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Sizlux;0;1;0;2747.0;SIZ;0.0;0.03;0.05;1068591.0;1034232.0;822528.0;849854.0;1.03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
BLACK ROCK;0;0;1;3845.0;ROCK;0.21;-6.76;-63.07;81194.0;83123838.0;10000000000.0;9767842.0;0.0009768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Wall Street Bets Solana;0;0;1;5640.0;WSBS;1.71;0.72;-45.55;3397.0;76437342.0;6899722129.0;306622.0;4,44E-02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Solana Crash;0;0;1;4358.0;CRASH;1.55;5.2;23.12;31261.0;10431124.0;100000000.0;299690.0;0.002997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Cere Network;1;1;0;656.0;CERE;-0.24;-0.16;-13.8;866829.0;144708427.0;6939923952.0;41502315.0;0.005982;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Verasity;1;1;0;564.0;VRA;0.65;4.41;-18.69;9378200.0;1606595603.0;10001381139.0;58250927.0;0.005834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
bloo foster coin;0;0;1;3648.0;BLOO;0.48;-6.08;-59.94;116130.0;61630.0;1000000.0;1884316.0;1.88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Jonny Five;0;0;1;5486.0;JFIVE;0.0;15.84;-31.3;4702.0;929958.0;50000000.0;252783.0;0.005056;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
XANA;1;0;0;2648.0;XETA;-6.23;6.44;6.81;1719774.0;201838814.0;125000000.0;1065066.0;0.0085;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
EthXY;0;1;0;2972.0;SEXY;0.89;-7.03;-29.51;470297.0;555104.0;13824159.0;11712142.0;0.8484;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
TridentDAO;0;1;0;4162.0;PSI;0.49;0.26;-18.18;45228.0;5259448.0;2097902.0;18041.0;0.008599;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Venom;0;0;1;7002.0;VNM;1.78;-4.33;-37.78;153.0;94323669.0;26137466958.0;42461.0;1,63E-03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
DuckCoin;0;0;1;3951.0;DUCK;1.71;-5.02;-42.35;67871.0;10105589.0;251102731.0;1686441.0;0.006716;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Crustieno Renaldo;0;0;1;4196.0;SIUUU;0.76;-12.23;-38.87;42338.0;224819533.0;999961952.0;188313.0;0.0001883;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Refinable;0;1;0;2029.0;FINE;0.15;6.24;-8.85;145564.0;25145138.0;41059833.0;237724.0;0.005789;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Covalent;1;0;0;341.0;CQT;-0.32;-5.12;-13.08;1573183.0;7465508.0;686658970.0;144672198.0;0.2107;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
NALS (Ordinals);0;0;1;3115.0;NALS;0.12;-8.62;-8.23;326030.0;1678848.0;21000000.0;4078170.0;0.1939;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Tongochi;0;1;0;5476.0;PET;1.51;5.16;-49.58;4770.0;346508.0;91085000.0;1253958.0;0.01377;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Guild of Guardians;0;1;0;298.0;GOG;0.07;6.38;74.89;5376454.0;17135854.0;569604001.0;180314003.0;0.3162;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
AI Dragon;0;0;1;3045.0;CHATGPT;3.46;11.82;-65.48;388559.0;32360112607.0;88000000000.0;1056647.0;1,20E-02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Reef;0;1;0;630.0;REEF;0.34;2.36;-34.76;16042491.0;7905242952.0;22821409581.0;46277352.0;0.002028;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Revomon;0;1;0;1410.0;REVO;0.27;6.59;-21.32;87569.0;926215.0;32951612.0;3115398.0;0.09454;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
SuperVerse;0;1;0;135.0;SUPER;0.05;3.28;-9.53;12698067.0;13056750.0;487776093.0;474359814.0;0.9725;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
PlayDapp;0;1;0;633.0;PDA;0.68;0.44;-36.59;11231059.0;138973011.0;569084159.0;46064407.0;0.08113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
My Master War;0;1;0;1987.0;MAT;0.13;-0.79;-20.13;4426.0;1018738.0;67108529.0;290985.0;0.004345;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
Tamadoge;0;0;1;1220.0;TAMA;-1.56;-0.49;-22.34;529842.0;114892386.0;1393353219.0;6417030.0;0.004605;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
ScarQuest;0;1;0;3997.0;SCAR;0.6;3.19;-32.71;62213.0;29869026.0;2368063288.0;4932350.0;0.002083;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
GONE;0;0;1;2892.0;GONE;0.79;6.57;-29.49;605446.0;30247194232.0;69420069420.0;1389555.0;2,00E-02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Robin of Da Hood;0;0;1;5377.0;ROBIN;7.54;2.99;-37.64;5893.0;130359969.0;991120000.0;44803.0;4,52E-02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Aventis Metaverse;1;0;0;3973.0;AVTM;0.2;-4.01;-34.41;64602.0;80673428.0;194088542.0;155422.0;0.0008008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
GAM3S.GG;0;1;0;2546.0;G3;-1.0;-1.45;36.57;3923584.0;18961166.0;62233500.0;12877813.0;0.2069;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
The Graph;1;0;0;44.0;GRT;0.18;5.76;-5.07;119837161.0;455904790.0;9482394293.0;2487204264.0;0.2624;0;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
PaLM AI;1;0;0;588.0;PALM;7.14;5.79;-7.08;2178252.0;3157475.0;79000000.0;56588613.0;0.7223;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Only1;1;0;0;681.0;LIKE;6.64;36.89;-6.37;3703471.0;26251359.0;273286650.0;38607887.0;0.1414;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
SOFT COQ INU;0;0;1;3148.0;SOFTCO;-16.48;85.11;85.11;299394.0;888339878.0;400000000.0;134811.0;0.000337;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
MixMob;0;1;0;3452.0;MXM;0.05;3.98;-9.1;158102.0;2999691.0;146711005.0;7732541.0;0.05271;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0
KORRA;0;0;1;4698.0;KORRA;0.85;-6.58;-40.29;19109.0;3255609.0;99999026.0;586954.0;0.00587;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Bone ShibaSwap;0;0;1;340.0;BONE;0.78;1.93;-11.65;8423992.0;13688665.0;229923351.0;141772454.0;0.6166;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
FOTA - Fight Of The Ages;0;1;0;2407.0;FOTA;-4.2;-4.44;-29.96;13791.0;39384800.0;6550298.0;2293.0;0.0003502;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
LANDWOLF;0;0;1;3232.0;WOLF;-0.42;-1.24;-33.47;252759.0;11440438497.0;550000000000.0;12151407.0;2,21E-02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
TONY THE DUCK;0;0;1;3139.0;TONY;-1.46;-3.74;2.56;309505.0;39312357.0;1000000000.0;7872981.0;0.007888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Nola;0;0;1;5241.0;NOLA;0.0;1.24;-39.43;8110.0;6604652.0;1000000000.0;1227989.0;0.001228;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Connectome;1;0;0;2371.0;CNTM;0.01;4.92;39.74;121900.0;14172650.0;1210675.0;9691.0;0.008601;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
WASSIE;0;0;1;4400.0;WASSIE;0.07;-3.67;-24.64;29151.0;5656456268.0;668818168540.0;3446851.0;5,15E-03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
LimeWire;1;0;0;527.0;LMWR;0.53;6.75;-1.38;5068575.0;4609301.0;62352281.0;68424458.0;1.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
Memecoin;0;0;1;195.0;MEME;0.91;-0.56;-33.58;49247207.0;1904858361.0;11915631596.0;308915777.0;0.02593;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
LBRY Credits;1;0;0;1542.0;LBC;-0.41;-2.47;-10.9;6179.0;2082576.0;654237215.0;1940984.0;0.002967;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
CEILING CAT;0;0;1;3679.0;CEICAT;2.25;-1.98;-39.08;110421.0;111257563.0;999883623.0;992367.0;0.0009925;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Web3Games.com;0;1;0;4308.0;WGT;13.47;-0.72;-28.91;34602.0;1470269.0;325279995.0;7655271.0;0.02353;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
ROOBEE;1;0;0;1360.0;ROOBEE;-0.16;5.93;-18.58;108417.0;119197177.0;4102063740.0;3731161.0;0.0009096;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Katana Inu;0;1;1;740.0;KATA;-0.09;3.37;-19.44;689723.0;494963542.0;21526767077.0;29819982.0;0.001385;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
Duck Off Coin;0;0;1;6459.0;DUCK;0.0;19.5;9.54;552.0;3781776708.0;69000000000.0;10073.0;1.46e-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Revolve Games;0;1;0;1622.0;RPG;0.0;-0.26;8.07;2802.0;152186.0;77123569.0;1419774.0;0.01841;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
CasinoCoin;0;1;0;5482.0;CSC;0.74;6.98;-17.2;4731.0;28901748.0;41290000000.0;6758850.0;0.0001637;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
GT Protocol;1;0;0;904.0;GTAI;0.56;7.77;-17.22;15133318.0;6664131.0;7732754.0;17547296.0;2.27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Thetan World;0;1;0;1152.0;THG;0.1;3.78;-20.1;860575.0;12445666.0;113584954.0;7845369.0;0.06915;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Neurashi;1;0;0;2093.0;NEI;0.01;-17.05;-57.42;110641.0;23225372.0;38049122.0;174821.0;0.004764;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Gamer Arena;0;1;0;2669.0;GAU;0.51;-1.62;-24.35;1537020.0;16563716.0;251197917.0;23309755.0;0.09279;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
Gecko Coin;0;0;1;4012.0;GECKO;5.91;-8.82;-41.27;60053.0;1285958558.0;62575342697.0;2922192.0;4.67e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
SAUDI PEPE;0;0;1;6084.0;SAUDIPEPE;-0.2;-6.13;-20.21;1275.0;344137585.0;10000000000.0;37058.0;3,71E-03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
BattleVerse;0;1;0;4031.0;BVC;0.02;0.0;-18.38;58858.0;103755849.0;4000000.0;2269.0;0.0005673;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
Theta Network;1;0;0;48.0;THETA;0.05;2.22;-21.18;51806393.0;24900747.0;1000000000.0;2079753548.0;2.08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
SPECTRE AI;1;0;0;980.0;SPECTRE;-0.18;-6.24;-26.48;364650.0;235627.0;9093998.0;14073636.0;1.55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
BlockchainSpace;0;1;0;4218.0;GUILD;-0.07;-0.11;-16.27;40402.0;7689847.0;307026054.0;1613092.0;0.005254;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0
Solamander;0;0;1;5162.0;SOLY;2.47;11.15;-7.05;9547.0;28463566.0;1000000000.0;335418.0;0.0003352;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
X Protocol;0;1;0;5000.0;POT;-0.04;-2.64;-17.5;12875.0;1888250.0;4750000.0;32387.0;0.006818;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Seascape Crowns;0;1;0;1527.0;CWS;0.69;1.61;-22.93;397245.0;936366.0;4852052.0;2056347.0;0.4242;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
ELMOERC;0;0;1;1612.0;ELMO;1.29;6.15;-16.91;5308.0;973516.0;271980768.0;1501707.0;0.005521;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
DORK LORD;0;0;1;3004.0;DORKL;-0.15;2.68;-28.38;436673.0;701610477.0;1000000000.0;622386.0;0.0006226;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Lambda;1;0;0;1074.0;LAMB;0.71;-1.44;-24.59;480675.0;79267665.0;1646414198.0;9986357.0;0.006064;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
TaleCraft;0;1;0;4507.0;CRAFT;-2.85;34.87;-30.07;25359.0;5932212.0;6000000.0;25649.0;0.004275;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
NINE DOGS;0;0;1;6017.0;9DOGS;-1.16;-10.96;-76.25;1486.0;421632.0;9000000.0;31724.0;0.003525;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
GAMEE;0;1;0;1051.0;GMEE;0.53;4.6;-7.28;625559.0;37565336.0;651469589.0;10846153.0;0.01665;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
Real Smurf Cat (ETH);0;0;1;1255.0;SMURFCAT;0.16;-1.21;-22.57;693351.0;11611195415.0;93809047574.0;5631912.0;6,00E-02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
ElephantPepe;0;0;1;4656.0;ELEPEPE;8.05;12.59;22.23;20345.0;25784880.0;1000000000.0;789016.0;0.000789;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Fetch.ai;1;0;0;51.0;FET;0.2;7.05;-3.46;289524767.0;134279391.0;848552254.0;1829391558.0;2.16;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MAGA Coin;0;0;1;7382.0;MAGA;0.0;-0.36;-21.02;57.0;265000.0;1000000000.0;216490.0;0.0002165;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Bittensor;1;0;0;35.0;TAO;-0.54;0.45;-20.97;42041512.0;91156.0;6620065.0;3046173101.0;460.26;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
Turbo;1;0;1;702.0;TURBO;-0.0;0.08;-15.01;8857419.0;15935279311.0;63674701174.0;35332538.0;0.0005556;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Meme Ai;0;0;1;1374.0;MEMEAI;-1.08;1.34;-23.44;331213.0;69160981.0;728043731.0;3499912.0;0.004807;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Sandy;0;0;1;5912.0;SANDY;1.04;14.91;7.93;1829.0;9207990.0;99998517.0;19865.0;0.0001986;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
CREW INU;0;0;1;6165.0;CREW;0.57;33.0;-7.82;1052.0;83351267.0;1000000000.0;12622.0;1,26E-02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
